lat	lng	type
42.6652795	23.3519628	детска градина
42.67001767	23.36060007	детска градина
42.6704852	23.3597392	детска градина
42.67564	23.356317	детска градина
42.7076219	23.2889248	детска градина
42.7093509	23.297502	детска градина
42.7163082	23.2913079	детска градина
42.7159495	23.285719	детска градина
42.7046779	23.2978919	детска градина
42.6430164	23.4115404	детска градина
42.6543351	23.4007722	детска градина
42.6543351	23.4007722	детска градина
42.6667106	23.3966003	детска градина
42.6156597	23.4164724	детска градина
42.669322	23.3920097	детска градина
42.669322	23.3920097	детска градина
42.6992168	23.2843292	детска градина
42.6980394	23.289031	детска градина
42.701699	23.2838507	детска градина
42.701699	23.2838507	детска градина
42.6950211	23.2821377	детска градина
42.6953375	23.2797284	детска градина
42.6919003	23.2836416	детска градина
42.678333	23.284444	детска градина
42.6807391	23.2971242	детска градина
42.6949566	23.3100714	детска градина
42.6717221	23.2770626	детска градина
42.6933076	23.3078053	детска градина
42.6748352	23.2933772	детска градина
42.684768	23.2895438	детска градина
42.68560947	23.30283078	детска градина
42.6736059	23.2744704	детска градина
42.6853695	23.2772341	детска градина
42.6758549	23.2874029	детска градина
42.6807721	23.2990683	детска градина
42.6707266	23.2828085	детска градина
42.6802403	23.2915493	детска градина
42.7000221	23.4923908	детска градина
42.7017137	23.3168096	детска градина
42.7124597	23.4081819	детска градина
42.7350477	23.4695209	детска градина
42.7035915	23.3327324	детска градина
42.7653716	23.5684065	детска градина
42.7180384	23.5294211	детска градина
42.6503409	23.3193938	детска градина
42.6729423	23.3184324	детска градина
42.717927	23.2975042	детска градина
42.6593911	23.283328	детска градина
42.659246	23.2506667	детска градина
42.6540811	23.3330537	детска градина
42.6847778	23.3288391	детска градина
42.6755091	23.3206001	детска градина
42.6718686	23.3306347	детска градина
42.6360833	23.367585	детска градина
42.6413333	23.3390941	детска градина
42.6506924	23.3313028	детска градина
42.6826516	23.3308232	детска градина
42.67174	23.3278425	детска градина
42.6814148	23.3241517	детска градина
42.6686398	23.3168628	детска градина
42.6762406	23.3291941	детска градина
42.6730529	23.3178962	детска градина
42.6668133	23.3215178	детска градина
42.6333524	23.3187654	детска градина
42.7292528	23.2475244	детска градина
42.7184708	23.2747449	детска градина
42.7146272	23.2701844	детска градина
42.6873656	23.3241575	детска градина
42.7113203	23.2611162	детска градина
42.7136807	23.2639289	детска градина
42.7131225	23.2516782	детска градина
42.7267992	23.2478784	детска градина
42.7173809	23.2415808	детска градина
42.72390213	23.25561438	детска градина
42.72489909	23.2494767	детска градина
42.7294	23.2500755	детска градина
42.7218539	23.2648519	детска градина
42.7198704	23.219063	детска градина
42.71295106	23.24527878	детска градина
42.7276545	23.2568357	детска градина
42.7182275	23.2413622	детска градина
42.7148771	23.2736919	детска градина
42.6113773	23.3641396	детска градина
42.6193852	23.3383101	детска градина
42.6348464	23.3739388	детска градина
42.6524096	23.3765518	детска градина
42.6499445	23.3755281	детска градина
42.64467675	23.38259681	детска градина
42.6790043	23.3818407	детска градина
42.7464883	23.274467	детска градина
42.6548377	23.3784015	детска градина
42.644694	23.3697539	детска градина
42.6398502	23.370757	детска градина
42.6326581	23.3763207	детска градина
42.6395851	23.3791237	детска градина
42.6616024	23.3753174	детска градина
